input.data.text.raw,input.data.concepts[*].id
"<|begin_of_text|> <|start_header_id|>system<|end_header_id|> You are a helpful AI assistant <|eot_id|> <|start_header_id|>user<|end_header_id|> Summarize the following text: The new smartphone model offers exceptional battery life and an improved camera. <|eot_id|> <|start_header_id|>assistant<|end_header_id|> {""summary"": ""The smartphone has great battery life and a better camera.""} <|eot_id|>",
"<|begin_of_text|><|start_header_id|>system<|end_header_id|> You are a helpful AI assistant<|eot_id|><|start_header_id|>user<|end_header_id|> Extract the main entities from the text: Tesla and SpaceX are both founded by Elon Musk.<|eot_id|><|start_header_id|>assistant<|end_header_id|> {""entities"": [""Tesla"", ""SpaceX"", ""Elon Musk""]}<|eot_id|>",
"<|begin_of_text|><|start_header_id|>system<|end_header_id|> You are a helpful AI assistant<|eot_id|><|start_header_id|>user<|end_header_id|> Translate the following English sentence to Spanish: The cat is sitting on the mat.<|eot_id|><|start_header_id|>assistant<|end_header_id|> {""translation"": ""El gato está sentado en la alfombra.""}<|eot_id|>",
"<|begin_of_text|><|start_header_id|>system<|end_header_id|> You are a helpful AI assistant <|eot_id|><|start_header_id|>user<|end_header_id|> Determine the type of financial transaction described in the text: The company paid dividends to its shareholders.<|eot_id|><|start_header_id|>assistant<|end_header_id|> {""transaction_type"": ""dividend payment""}<|eot_id|>",
"<|begin_of_text|><|start_header_id|>system<|end_header_id|> You are a helpful AI assistant<|eot_id|><|start_header_id|>user<|end_header_id|> Identify the primary emotion expressed in the text: I am so frustrated with the service!<|eot_id|><|start_header_id|>assistant<|end_header_id|> {""emotion"": ""frustration""}<|eot_id|>",
"<|begin_of_text|><|start_header_id|>system<|end_header_id|> You are a helpful AI assistant <|eot_id|><|start_header_id|>user<|end_header_id|> Classify the topic of the text: The latest trends in AI technology are revolutionizing industries.<|eot_id|><|start_header_id|>assistant<|end_header_id|> {""topic"": ""technology""}<|eot_id|>",
"<|begin_of_text|><|start_header_id|>system<|end_header_id|> You are a helpful AI assistant <|eot_id|><|start_header_id|>user<|end_header_id|> Convert the following temperature from Fahrenheit to Celsius: The temperature is 77 degrees Fahrenheit.<|eot_id|><|start_header_id|>assistant<|end_header_id|> {""celsius"": 25}<|eot_id|>",
"<|begin_of_text|><|start_header_id|>system<|end_header_id|> You are a helpful AI assistant <|eot_id|><|start_header_id|>user<|end_header_id|> Identify the key metrics mentioned in the text: Our sales increased by 20% this quarter, and customer satisfaction improved by 15%.<|eot_id|><|start_header_id|>assistant<|end_header_id|> {""metrics"": [""20% increase in sales"", ""15% improvement in customer satisfaction""]}<|eot_id|>",
"<|begin_of_text|><|start_header_id|>system<|end_header_id|> You are a helpful AI assistant <|eot_id|><|start_header_id|>user<|end_header_id|> Determine the validity of the statement: Water boils at 100 degrees Celsius at sea level.<|eot_id|><|start_header_id|>assistant<|end_header_id|> {""validity"": ""true""}<|eot_id|>",
"<|begin_of_text|><|start_header_id|>system<|end_header_id|> You are a helpful AI assistant <|eot_id|><|start_header_id|>user<|end_header_id|> Extract the names and ages mentioned in the text: John is 40 years old and Mary is 35 years old.<|eot_id|><|start_header_id|>assistant<|end_header_id|> {""people"": [{""name"": ""John"", ""age"": 40}, {""name"": ""Mary"", ""age"": 35}]}<|eot_id|>",
"<|begin_of_text|><|start_header_id|>system<|end_header_id|> You are a helpful AI assistant<|eot_id|><|start_header_id|>user<|end_header_id|> Summarize the following text: The new movie received critical acclaim for its stunning visuals and gripping storyline.<|eot_id|><|start_header_id|>assistant<|end_header_id|> {""summary"": ""The movie is praised for its visuals and storyline.""}<|eot_id|>",
